	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	peso	tamanho torax
0	1	Spectrogram 1	1	1.3865941880000001	3.348117673	0.0	21898.972999999998	voo	0.0709	2.7
1	2	Spectrogram 1	1	4.295060045	4.8361699719999995	0.0	22050.0	voo	0.0709	2.7
2	3	Spectrogram 1	1	7.643177717	8.015190792	0.0	21898.972999999998	vibra_flor_1	0.0709	2.7
3	4	Spectrogram 1	1	9.672339942999999	13.899761247	0.0	21898.972999999998	vibra_flor_1	0.0709	2.7
4	5	Spectrogram 1	1	14.576148655	15.69218788	0.0	22050.0	voo	0.0709	2.7
5	6	Spectrogram 1	1	16.199478436	17.788988846	0.0	22050.0	vibra_flor_2	0.0709	2.7
6	7	Spectrogram 1	1	17.822808217000002	25.263069711	302.055	22050.0	voo	0.0709	2.7
7	8	Spectrogram 1	1	26.040915231	28.543548643	0.0	21898.972999999998	vibra_flor_3	0.0709	2.7
8	9	Spectrogram 1	1	29.08465857	30.64034961	0.0	22050.0	vibra_flor_3	0.0709	2.7
9	10	Spectrogram 1	1	31.384375759	34.157564135	0.0	21898.972999999998	voo	0.0709	2.7
